"merge_key","id","date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TotalHoursAsleep","day_of_week","weekday"
"1503960366_2016-04-12",1503960366,NA,1,327,346,5.45,"Tue",NA
"1503960366_2016-04-13",1503960366,NA,2,384,407,6.4,"Wed",NA
"1503960366_2016-04-15",1503960366,NA,1,412,442,6.866666667,"Fri",NA
"1503960366_2016-04-16",1503960366,NA,2,340,367,5.666666667,"Sat",NA
"1503960366_2016-04-17",1503960366,NA,1,700,712,11.66666667,"Sun",NA
"1503960366_2016-04-19",1503960366,NA,1,304,320,5.066666667,"Tue",NA
"1503960366_2016-04-20",1503960366,NA,1,360,377,6,"Wed",NA
"1503960366_2016-04-21",1503960366,NA,1,325,364,5.416666667,"Thu",NA
"1503960366_2016-04-23",1503960366,NA,1,361,384,6.016666667,"Sat",NA
"1503960366_2016-04-24",1503960366,NA,1,430,449,7.166666667,"Sun",NA
"1503960366_2016-04-25",1503960366,NA,1,277,323,4.616666667,"Mon",NA
"1503960366_2016-04-26",1503960366,NA,1,245,274,4.083333333,"Tue",NA
"1503960366_2016-04-28",1503960366,NA,1,366,393,6.1,"Thu",NA
"1503960366_2016-04-29",1503960366,NA,1,341,354,5.683333333,"Fri",NA
"1503960366_2016-04-30",1503960366,NA,1,404,425,6.733333333,"Sat",NA
"1503960366_2016-05-01",1503960366,NA,1,369,396,6.15,"Sun",NA
"1503960366_2016-05-02",1503960366,NA,1,277,309,4.616666667,"Mon",NA
"1503960366_2016-05-03",1503960366,NA,1,273,296,4.55,"Tue",NA
"1503960366_2016-05-05",1503960366,NA,1,247,264,4.116666667,"Thu",NA
"1503960366_2016-05-06",1503960366,NA,1,334,367,5.566666667,"Fri",NA
"1503960366_2016-05-07",1503960366,NA,1,331,349,5.516666667,"Sat",NA
"1503960366_2016-05-08",1503960366,NA,1,594,611,9.9,"Sun",NA
"1503960366_2016-05-09",1503960366,NA,1,338,342,5.633333333,"Mon",NA
"1503960366_2016-05-10",1503960366,NA,1,383,403,6.383333333,"Tue",NA
"1503960366_2016-05-11",1503960366,NA,1,285,306,4.75,"Wed",NA
"1644430081_2016-04-29",1644430081,NA,1,119,127,1.983333333,"Fri",NA
"1644430081_2016-04-30",1644430081,NA,1,124,142,2.066666667,"Sat",NA
"1644430081_2016-05-02",1644430081,NA,1,796,961,13.26666667,"Mon",NA
"1644430081_2016-05-08",1644430081,NA,1,137,154,2.283333333,"Sun",NA
"1844505072_2016-04-15",1844505072,NA,1,644,961,10.73333333,"Fri",NA
"1844505072_2016-04-30",1844505072,NA,1,722,961,12.03333333,"Sat",NA
"1844505072_2016-05-01",1844505072,NA,1,590,961,9.833333333,"Sun",NA
"1927972279_2016-04-12",1927972279,NA,3,750,775,12.5,"Tue",NA
"1927972279_2016-04-13",1927972279,NA,1,398,422,6.633333333,"Wed",NA
"1927972279_2016-04-15",1927972279,NA,2,475,499,7.916666667,"Fri",NA
"1927972279_2016-04-26",1927972279,NA,1,296,315,4.933333333,"Tue",NA
"1927972279_2016-04-28",1927972279,NA,1,166,178,2.766666667,"Thu",NA
"2026352035_2016-04-12",2026352035,NA,1,503,546,8.383333333,"Tue",NA
"2026352035_2016-04-13",2026352035,NA,1,531,565,8.85,"Wed",NA
"2026352035_2016-04-14",2026352035,NA,1,545,568,9.083333333,"Thu",NA
"2026352035_2016-04-15",2026352035,NA,1,523,573,8.716666667,"Fri",NA
"2026352035_2016-04-16",2026352035,NA,1,524,567,8.733333333,"Sat",NA
"2026352035_2016-04-17",2026352035,NA,1,437,498,7.283333333,"Sun",NA
"2026352035_2016-04-19",2026352035,NA,1,498,540,8.3,"Tue",NA
"2026352035_2016-04-20",2026352035,NA,1,461,510,7.683333333,"Wed",NA
"2026352035_2016-04-21",2026352035,NA,1,477,514,7.95,"Thu",NA
"2026352035_2016-04-22",2026352035,NA,1,520,545,8.666666667,"Fri",NA
"2026352035_2016-04-23",2026352035,NA,1,522,554,8.7,"Sat",NA
"2026352035_2016-04-24",2026352035,NA,1,555,591,9.25,"Sun",NA
"2026352035_2016-04-25",2026352035,NA,1,506,531,8.433333333,"Mon",NA
"2026352035_2016-04-27",2026352035,NA,1,508,545,8.466666667,"Wed",NA
"2026352035_2016-04-28",2026352035,NA,1,513,545,8.55,"Thu",NA
"2026352035_2016-04-29",2026352035,NA,1,490,510,8.166666667,"Fri",NA
"2026352035_2016-04-30",2026352035,NA,1,573,607,9.55,"Sat",NA
"2026352035_2016-05-01",2026352035,NA,1,527,546,8.783333333,"Sun",NA
"2026352035_2016-05-02",2026352035,NA,1,511,543,8.516666667,"Mon",NA
"2026352035_2016-05-04",2026352035,NA,1,538,560,8.966666667,"Wed",NA
"2026352035_2016-05-05",2026352035,NA,1,468,485,7.8,"Thu",NA
"2026352035_2016-05-06",2026352035,NA,1,524,548,8.733333333,"Fri",NA
"2026352035_2016-05-07",2026352035,NA,1,511,521,8.516666667,"Sat",NA
"2026352035_2016-05-08",2026352035,NA,1,541,568,9.016666667,"Sun",NA
"2026352035_2016-05-09",2026352035,NA,1,531,556,8.85,"Mon",NA
"2026352035_2016-05-10",2026352035,NA,1,357,380,5.95,"Tue",NA
"2026352035_2016-05-11",2026352035,NA,1,523,553,8.716666667,"Wed",NA
"2026352035_2016-05-12",2026352035,NA,1,456,485,7.6,"Thu",NA
"2320127002_2016-04-23",2320127002,NA,1,61,69,1.016666667,"Sat",NA
"2347167796_2016-04-13",2347167796,NA,1,467,531,7.783333333,"Wed",NA
"2347167796_2016-04-14",2347167796,NA,1,445,489,7.416666667,"Thu",NA
"2347167796_2016-04-15",2347167796,NA,1,452,504,7.533333333,"Fri",NA
"2347167796_2016-04-17",2347167796,NA,1,556,602,9.266666667,"Sun",NA
"2347167796_2016-04-18",2347167796,NA,1,500,557,8.333333333,"Mon",NA
"2347167796_2016-04-19",2347167796,NA,1,465,514,7.75,"Tue",NA
"2347167796_2016-04-21",2347167796,NA,1,460,484,7.666666667,"Thu",NA
"2347167796_2016-04-22",2347167796,NA,1,405,461,6.75,"Fri",NA
"2347167796_2016-04-23",2347167796,NA,1,374,386,6.233333333,"Sat",NA
"2347167796_2016-04-24",2347167796,NA,1,442,459,7.366666667,"Sun",NA
"2347167796_2016-04-25",2347167796,NA,1,433,471,7.216666667,"Mon",NA
"2347167796_2016-04-26",2347167796,NA,1,436,490,7.266666667,"Tue",NA
"2347167796_2016-04-27",2347167796,NA,1,448,499,7.466666667,"Wed",NA
"2347167796_2016-04-28",2347167796,NA,1,408,450,6.8,"Thu",NA
"2347167796_2016-04-29",2347167796,NA,1,411,473,6.85,"Fri",NA
"3977333714_2016-04-12",3977333714,NA,1,274,469,4.566666667,"Tue",NA
"3977333714_2016-04-13",3977333714,NA,2,295,456,4.916666667,"Wed",NA
"3977333714_2016-04-14",3977333714,NA,1,291,397,4.85,"Thu",NA
"3977333714_2016-04-15",3977333714,NA,1,424,556,7.066666667,"Fri",NA
"3977333714_2016-04-16",3977333714,NA,1,283,510,4.716666667,"Sat",NA
"3977333714_2016-04-17",3977333714,NA,1,381,566,6.35,"Sun",NA
"3977333714_2016-04-18",3977333714,NA,2,412,522,6.866666667,"Mon",NA
"3977333714_2016-04-19",3977333714,NA,1,219,395,3.65,"Tue",NA
"3977333714_2016-04-20",3977333714,NA,2,152,305,2.533333333,"Wed",NA
"3977333714_2016-04-21",3977333714,NA,1,332,512,5.533333333,"Thu",NA
"3977333714_2016-04-22",3977333714,NA,1,355,476,5.916666667,"Fri",NA
"3977333714_2016-04-23",3977333714,NA,1,235,372,3.916666667,"Sat",NA
